Quantify Compound Summary Report 

Printed Tue May 19 17:18:28 2026

Compound 1:  SA

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
33	33	260508_phytohormones_AKirchhofer_BC4			5.25	7351733	332243	356614	16751	19.83420	bb	82.23998		
34	34	260508_phytohormones_AKirchhofer_BC5			5.25	7425118	351177	339266	15428	22.76255	bb	94.52803		
35	35	260508_phytohormones_AKirchhofer_BT1			5.25	1103964	52586	272678	12112	4.34150	bb	17.22890		
36	36	260508_phytohormones_AKirchhofer_BT3			5.25	21762642	1011049	370548	15946	63.40313	bb	265.06559		
37	37	260508_phytohormones_AKirchhofer_BT5			5.24	8198368	396225	396154	17704	22.38065	bb	92.92545		
38	38	260508_phytohormones_AKirchhofer_MT1			5.25	835610	39040	433520	19207	2.03261	bb	7.54023		
39	39	260508_phytohormones_AKirchhofer_MT2			5.25	2388522	109596	256251	11971	9.15513	bb	37.42802		
40	40	260508_phytohormones_AKirchhofer_MT3			5.25	347118	16425	277707	13124	1.25156	bb	4.26276		
41	41	260508_phytohormones_AKirchhofer_std_5_ngml_4	QC	5.000	5.25	1296983	64164	971018	45442	1.41198	bb	4.93592	-1.3	98.7
42	42	260508_phytohormones_AKirchhofer_MT4			5.25	510632	24689	129537	6344	3.89167	bb	15.34128		
43	43	260508_phytohormones_AKirchhofer_MC1			5.25	5586711	264534	444365	20215	13.08628	bb	53.92407		
44	44	260508_phytohormones_AKirchhofer_MC2			5.25	1279370	59523	227883	9923	5.99863	bb	24.18261		
45	45	260508_phytohormones_AKirchhofer_MC4			5.25	1229088	59893	327341	15154	3.95217	bb	15.59518		
46	46	260508_phytohormones_AKirchhofer_MC5			5.24	354563	16469	262134	12228	1.34683	bb	4.66254		
47	47	260508_phytohormones_AKirchhofer_B_1			5.24	6137156	291983	353843	16341	17.86830	bb	73.99056		
48	48	260508_phytohormones_AKirchhofer_B_2			5.25	2335381	106564	493555	22158	4.80924	bb	19.19163		
49	49	260508_phytohormones_AKirchhofer_M			5.25	927805	44290	287272	13255	3.34147	bb	13.03254		
50	50	260508_phytohormones_AKirchhofer_unknown			5.25	3799625	175827	372536	16888	10.41116	bb	42.69862		
51	51	260508_phytohormones_AKirchhofer_std_5_ngml_5	QC	5.000	5.25	1337153	65719	963286	45784	1.43542	bb	5.03427	0.7	100.7

Compound 2:  SA-d4

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
1	1	260508_phytohormones_AKirchhofer_MeOH50_1		1.000										
2	2	260508_phytohormones_AKirchhofer_MeOH50_2		1.000										
3	3	260508_phytohormones_AKirchhofer_std_0_ngml		1.000	5.22	886198	42319			42318.92200	bb	0.99581	-0.4	99.6
4	4	260508_phytohormones_AKirchhofer_std_005_ngml	Standard	1.000	5.23	894631	43495			43494.52300	bb	1.02348	2.3	102.3
5	5	260508_phytohormones_AKirchhofer_std_01_ngml	Standard	1.000	5.23	894141	42737			42736.84800	bb	1.00565	0.6	100.6
6	6	260508_phytohormones_AKirchhofer_std_05_ngml	Standard	1.000	5.23	902886	42428			42428.32400	bb	0.99839	-0.2	99.8
7	7	260508_phytohormones_AKirchhofer_std_1_ngml	Standard	1.000	5.22	889917	42424			42424.43800	bb	0.99830	-0.2	99.8
8	8	260508_phytohormones_AKirchhofer_std_2_ngml	Standard	1.000	5.22	906295	43152			43152.22700	bb	1.01542	1.5	101.5
9	9	260508_phytohormones_AKirchhofer_std_5_ngml_1	Standard	1.000	5.23	888314	42686			42685.98800	db	1.00445	0.4	100.4
10	10	260508_phytohormones_AKirchhofer_std_10_ngml	Standard	1.000	5.23	902543	42270			42270.48000	bb	0.99467	-0.5	99.5
11	11	260508_phytohormones_AKirchhofer_std_50_ngml	Standard	1.000	5.22	891778	41712			41712.21500	bb	0.98154	-1.8	98.2
12	12	260508_phytohormones_AKirchhofer_std_100_ngml	Standard	1.000	5.22	882479	41566			41566.27000	bb	0.97810	-2.2	97.8
13	13	260508_phytohormones_AKirchhofer_IPA_2		1.000										
14	14	260508_phytohormones_AKirchhofer_MeOH50_3		1.000										
15	15	260508_phytohormones_AKirchhofer_MeOH50_4		1.000										
16	16	260508_phytohormones_AKirchhofer_Blanc		1.000										
17	17	260508_phytohormones_AKirchhofer_B1		1.000	5.23	503410	22952			22952.46900	bb	0.54010	-46.0	54.0
18	18	260508_phytohormones_AKirchhofer_B2		1.000	5.23	554791	26227			26226.75400	bb	0.61715	-38.3	61.7
19	19	260508_phytohormones_AKirchhofer_B3		1.000	5.23	469186	21245			21245.45900	bb	0.49993	-50.0	50.0
20	20	260508_phytohormones_AKirchhofer_C1		1.000	5.23	539227	23949			23948.50800	bb	0.56354	-43.6	56.4
21	21	260508_phytohormones_AKirchhofer_C2		1.000	5.23	364937	16147			16146.57900	bb	0.37995	-62.0	38.0
22	22	260508_phytohormones_AKirchhofer_C3		1.000	5.23	363279	15652			15651.80800	bb	0.36831	-63.2	36.8
23	23	260508_phytohormones_AKirchhofer_std_5_ngml_2	QC	1.000	5.22	910726	42858			42857.84400	bb	1.00850	0.8	100.8
24	24	260508_phytohormones_AKirchhofer_S1		1.000	5.22	524913	23558			23557.71300	bb	0.55434	-44.6	55.4
25	25	260508_phytohormones_AKirchhofer_S2		1.000	5.22	538271	24246			24246.25600	bb	0.57054	-42.9	57.1
26	26	260508_phytohormones_AKirchhofer_S3		1.000	5.22	603066	26851			26850.57000	bb	0.63183	-36.8	63.2
27	27	260508_phytohormones_AKirchhofer_U1		1.000	5.22	444684	20781			20780.93900	bb	0.48900	-51.1	48.9
28	28	260508_phytohormones_AKirchhofer_U2		1.000	5.21	662688	29855			29854.68600	bb	0.70252	-29.7	70.3
29	29	260508_phytohormones_AKirchhofer_U3		1.000	5.22	387692	17974			17973.63100	bb	0.42294	-57.7	42.3
30	30	260508_phytohormones_AKirchhofer_std_5_ngml_3	QC	1.000	5.22	944357	44547			44547.47300	bb	1.04825	4.8	104.8
31	31	260508_phytohormones_AKirchhofer_BC1		1.000	5.21	349369	16503			16502.81300	bb	0.38833	-61.2	38.8
32	32	260508_phytohormones_AKirchhofer_BC3		1.000	5.22	428485	19342			19341.56100	bb	0.45513	-54.5	45.5
33	33	260508_phytohormones_AKirchhofer_BC4		1.000	5.22	356614	16751			16750.99800	bb	0.39417	-60.6	39.4
34	34	260508_phytohormones_AKirchhofer_BC5		1.000	5.22	339266	15428			15427.84000	bb	0.36304	-63.7	36.3
35	35	260508_phytohormones_AKirchhofer_BT1		1.000	5.22	272678	12112			12112.46100	bb	0.28502	-71.5	28.5
36	36	260508_phytohormones_AKirchhofer_BT3		1.000	5.22	370548	15946			15946.36300	bb	0.37524	-62.5	37.5
37	37	260508_phytohormones_AKirchhofer_BT5		1.000	5.21	396154	17704			17703.92400	bb	0.41659	-58.3	41.7
38	38	260508_phytohormones_AKirchhofer_MT1		1.000	5.22	433520	19207			19206.73600	bb	0.45196	-54.8	45.2
39	39	260508_phytohormones_AKirchhofer_MT2		1.000	5.21	256251	11971			11971.02400	bb	0.28169	-71.8	28.2
40	40	260508_phytohormones_AKirchhofer_MT3		1.000	5.22	277707	13124			13123.68400	bb	0.30882	-69.1	30.9
41	41	260508_phytohormones_AKirchhofer_std_5_ngml_4	QC	1.000	5.22	971018	45442			45442.46500	bb	1.06931	6.9	106.9
42	42	260508_phytohormones_AKirchhofer_MT4		1.000	5.21	129537	6344			6343.98700	bb	0.14928	-85.1	14.9
43	43	260508_phytohormones_AKirchhofer_MC1		1.000	5.22	444365	20215			20214.60900	bb	0.47567	-52.4	47.6
44	44	260508_phytohormones_AKirchhofer_MC2		1.000	5.21	227883	9923			9922.71800	bb	0.23349	-76.7	23.3
45	45	260508_phytohormones_AKirchhofer_MC4		1.000	5.21	327341	15154			15154.42100	bb	0.35660	-64.3	35.7
46	46	260508_phytohormones_AKirchhofer_MC5		1.000	5.21	262134	12228			12228.05100	bb	0.28774	-71.2	28.8
47	47	260508_phytohormones_AKirchhofer_B_1		1.000	5.22	353843	16341			16340.81400	bb	0.38452	-61.5	38.5
48	48	260508_phytohormones_AKirchhofer_B_2		1.000	5.22	493555	22158			22158.21500	bb	0.52141	-47.9	52.1
49	49	260508_phytohormones_AKirchhofer_M		1.000	5.21	287272	13255			13254.72300	bb	0.31190	-68.8	31.2
50	50	260508_phytohormones_AKirchhofer_unknown		1.000	5.22	372536	16888			16888.30700	bb	0.39740	-60.3	39.7
51	51	260508_phytohormones_AKirchhofer_std_5_ngml_5	QC	1.000	5.22	963286	45784			45783.99600	bb	1.07735	7.7	107.7

Compound 3:  ABA

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
1	1	260508_phytohormones_AKirchhofer_MeOH50_1												
2	2	260508_phytohormones_AKirchhofer_MeOH50_2												
3	3	260508_phytohormones_AKirchhofer_std_0_ngml						488135	19935					
4	4	260508_phytohormones_AKirchhofer_std_005_ngml	Standard	0.050	5.79	6673	305	481706	19814	0.01540	bb	0.05057	1.1	101.1
5	5	260508_phytohormones_AKirchhofer_std_01_ngml	Standard	0.100	5.77	13532	565	460557	19410	0.02910	bb	0.09762	-2.4	97.6
6	6	260508_phytohormones_AKirchhofer_std_05_ngml	Standard	0.500	5.78	71291	2867	471815	19463	0.14731	bb	0.50367	0.7	100.7
7	7	260508_phytohormones_AKirchhofer_std_1_ngml	Standard	1.000	5.78	136666	5674	464509	19235	0.29500	bb	1.01097	1.1	101.1
8	8	260508_phytohormones_AKirchhofer_std_2_ngml	Standard	2.000	5.77	270361	11230	465040	19484	0.57636	bb	1.97743	-1.1	98.9
9	9	260508_phytohormones_AKirchhofer_std_5_ngml_1	Standard	5.000	5.78	681362	28195	463780	19207	1.46793	bb	5.03993	0.8	100.8
10	10	260508_phytohormones_AKirchhofer_std_10_ngml	Standard	10.000	5.78	1357784	56388	471013	19428	2.90234	bb	9.96702	-0.3	99.7
11	11	260508_phytohormones_AKirchhofer_std_50_ngml	Standard	50.000	5.78	6709725	281444	471015	19306	14.57769	bb	50.07103	0.1	100.1
12	12	260508_phytohormones_AKirchhofer_std_100_ngml	Standard	100.000	5.78	12829587	547415	453393	18816	29.09348	bb	99.93176	-0.1	99.9
13	13	260508_phytohormones_AKirchhofer_IPA_2												
14	14	260508_phytohormones_AKirchhofer_MeOH50_3												
15	15	260508_phytohormones_AKirchhofer_MeOH50_4												
16	16	260508_phytohormones_AKirchhofer_Blanc												
17	17	260508_phytohormones_AKirchhofer_B1			5.77	248940	11031	246256	9922	1.11184	bb	3.81677		
18	18	260508_phytohormones_AKirchhofer_B2			5.78	416822	17916	292198	11787	1.52002	bb	5.21885		
19	19	260508_phytohormones_AKirchhofer_B3			5.78	171886	7331	217829	8899	0.82380	bb	2.82737		
20	20	260508_phytohormones_AKirchhofer_C1			5.78	346600	15051	265568	10966	1.37242	bb	4.71184		
21	21	260508_phytohormones_AKirchhofer_C2			5.78	310825	13221	235411	9545	1.38512	bb	4.75547		
22	22	260508_phytohormones_AKirchhofer_C3			5.78	368930	15917	218701	8587	1.85366	bb	6.36488		
23	23	260508_phytohormones_AKirchhofer_std_5_ngml_2	QC	5.000	5.78	704648	28581	467242	19521	1.46412	bb	5.02681	0.5	100.5
24	24	260508_phytohormones_AKirchhofer_S1			5.77	161851	6929	270033	10867	0.63762	bb	2.18785		
25	25	260508_phytohormones_AKirchhofer_S2			5.77	295935	12401	295938	11819	1.04930	bb	3.60194		
26	26	260508_phytohormones_AKirchhofer_S3			5.77	411651	17970	291019	11284	1.59246	bb	5.46766		
27	27	260508_phytohormones_AKirchhofer_U1			5.77	194684	8218	263581	10402	0.79005	bb	2.71145		
28	28	260508_phytohormones_AKirchhofer_U2			5.77	162893	7090	299925	11758	0.60299	bb	2.06892		
29	29	260508_phytohormones_AKirchhofer_U3			5.78	242122	10443	238373	9809	1.06465	bb	3.65467		
30	30	260508_phytohormones_AKirchhofer_std_5_ngml_3	QC	5.000	5.78	691238	28253	473798	19550	1.44511	bb	4.96152	-0.8	99.2
31	31	260508_phytohormones_AKirchhofer_BC1			5.77	286885	12715	271261	10825	1.17460	bb	4.03236		
32	32	260508_phytohormones_AKirchhofer_BC3			5.78	443990	19244	270742	10951	1.75721	bb	6.03355		
33	33	260508_phytohormones_AKirchhofer_BC4			5.77	370202	15979	250210	10117	1.57949	bb	5.42312		
34	34	260508_phytohormones_AKirchhofer_BC5			5.77	194251	8227	287422	11971	0.68728	bb	2.35842		
35	35	260508_phytohormones_AKirchhofer_BT1			5.77	198636	9238	250224	9789	0.94371	bb	3.23926		
36	36	260508_phytohormones_AKirchhofer_BT3			5.77	581608	24398	263895	10623	2.29672	bb	7.88675		
37	37	260508_phytohormones_AKirchhofer_BT5			5.77	2425932	108647	252591	9765	11.12575	bb	38.21385		
38	38	260508_phytohormones_AKirchhofer_MT1			5.77	233233	10225	262035	10394	0.98365	bb	3.37645		
39	39	260508_phytohormones_AKirchhofer_MT2			5.77	244079	10748	253807	10281	1.04544	bb	3.58868		
40	40	260508_phytohormones_AKirchhofer_MT3			5.77	150041	6527	262183	10825	0.60298	bb	2.06887		
41	41	260508_phytohormones_AKirchhofer_std_5_ngml_4	QC	5.000	5.78	689427	29250	467733	20072	1.45724	bb	5.00318	0.1	100.1
42	42	260508_phytohormones_AKirchhofer_MT4			5.77	258343	11386	262384	10973	1.03761	bb	3.56178		
43	43	260508_phytohormones_AKirchhofer_MC1			5.78	202601	9170	269609	10931	0.83892	bb	2.87931		
44	44	260508_phytohormones_AKirchhofer_MC2			5.77	148117	6232	230526	9230	0.67518	bb	2.31687		
45	45	260508_phytohormones_AKirchhofer_MC4			5.77	95234	4118	230554	8874	0.46405	bb	1.59167		
46	46	260508_phytohormones_AKirchhofer_MC5			5.77	183777	7639	354626	14309	0.53384	bb	1.83139		
47	47	260508_phytohormones_AKirchhofer_B_1			5.78	840222	35657	295385	11994	2.97290	bb	10.20940		
48	48	260508_phytohormones_AKirchhofer_B_2			5.77	860255	36587	339841	14031	2.60753	bb	8.95437		
49	49	260508_phytohormones_AKirchhofer_M			5.78	453502	20600	265129	10366	1.98725	bb	6.82374		
50	50	260508_phytohormones_AKirchhofer_unknown			5.77	695971	33708	280385	10559	3.19238	bb	10.96330		
51	51	260508_phytohormones_AKirchhofer_std_5_ngml_5	QC	5.000	5.78	696581	29587	495324	20540	1.44044	bb	4.94549	-1.1	98.9

Compound 4:  ABA-d6

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
1	1	260508_phytohormones_AKirchhofer_MeOH50_1		1.000										
2	2	260508_phytohormones_AKirchhofer_MeOH50_2		1.000										
3	3	260508_phytohormones_AKirchhofer_std_0_ngml		1.000	5.75	488135	19935			19934.75600	bb	1.03014	3.0	103.0
4	4	260508_phytohormones_AKirchhofer_std_005_ngml	Standard	1.000	5.75	481706	19814			19814.21100	bb	1.02391	2.4	102.4
5	5	260508_phytohormones_AKirchhofer_std_01_ngml	Standard	1.000	5.76	460557	19410			19409.93400	bb	1.00302	0.3	100.3
6	6	260508_phytohormones_AKirchhofer_std_05_ngml	Standard	1.000	5.75	471815	19463			19462.53700	bb	1.00573	0.6	100.6
7	7	260508_phytohormones_AKirchhofer_std_1_ngml	Standard	1.000	5.75	464509	19235			19235.48800	bb	0.99400	-0.6	99.4
8	8	260508_phytohormones_AKirchhofer_std_2_ngml	Standard	1.000	5.75	465040	19484			19484.24600	bb	1.00686	0.7	100.7
9	9	260508_phytohormones_AKirchhofer_std_5_ngml_1	Standard	1.000	5.75	463780	19207			19206.94300	bb	0.99253	-0.7	99.3
10	10	260508_phytohormones_AKirchhofer_std_10_ngml	Standard	1.000	5.76	471013	19428			19428.49000	bb	1.00398	0.4	100.4
11	11	260508_phytohormones_AKirchhofer_std_50_ngml	Standard	1.000	5.75	471015	19306			19306.46500	bb	0.99767	-0.2	99.8
12	12	260508_phytohormones_AKirchhofer_std_100_ngml	Standard	1.000	5.75	453393	18816			18815.72700	bb	0.97231	-2.8	97.2
13	13	260508_phytohormones_AKirchhofer_IPA_2		1.000										
14	14	260508_phytohormones_AKirchhofer_MeOH50_3		1.000										
15	15	260508_phytohormones_AKirchhofer_MeOH50_4		1.000										
16	16	260508_phytohormones_AKirchhofer_Blanc		1.000										
17	17	260508_phytohormones_AKirchhofer_B1		1.000	5.75	246256	9922			9921.71300	bb	0.51271	-48.7	51.3
18	18	260508_phytohormones_AKirchhofer_B2		1.000	5.75	292198	11787			11786.98500	bb	0.60910	-39.1	60.9
19	19	260508_phytohormones_AKirchhofer_B3		1.000	5.75	217829	8899			8899.06700	bb	0.45986	-54.0	46.0
20	20	260508_phytohormones_AKirchhofer_C1		1.000	5.76	265568	10966			10966.44500	bb	0.56670	-43.3	56.7
21	21	260508_phytohormones_AKirchhofer_C2		1.000	5.75	235411	9545			9545.34200	bb	0.49326	-50.7	49.3
22	22	260508_phytohormones_AKirchhofer_C3		1.000	5.75	218701	8587			8586.83700	bb	0.44373	-55.6	44.4
23	23	260508_phytohormones_AKirchhofer_std_5_ngml_2	QC	1.000	5.75	467242	19521			19521.16200	bb	1.00876	0.9	100.9
24	24	260508_phytohormones_AKirchhofer_S1		1.000	5.75	270033	10867			10866.95700	bb	0.56155	-43.8	56.2
25	25	260508_phytohormones_AKirchhofer_S2		1.000	5.75	295938	11819			11818.83600	bb	0.61074	-38.9	61.1
26	26	260508_phytohormones_AKirchhofer_S3		1.000	5.75	291019	11284			11284.47900	bb	0.58313	-41.7	58.3
27	27	260508_phytohormones_AKirchhofer_U1		1.000	5.75	263581	10402			10402.07200	bb	0.53753	-46.2	53.8
28	28	260508_phytohormones_AKirchhofer_U2		1.000	5.75	299925	11758			11757.59600	bb	0.60758	-39.2	60.8
29	29	260508_phytohormones_AKirchhofer_U3		1.000	5.75	238373	9809			9809.12100	bb	0.50689	-49.3	50.7
30	30	260508_phytohormones_AKirchhofer_std_5_ngml_3	QC	1.000	5.75	473798	19550			19550.49600	bb	1.01028	1.0	101.0
31	31	260508_phytohormones_AKirchhofer_BC1		1.000	5.75	271261	10825			10825.15500	bb	0.55939	-44.1	55.9
32	32	260508_phytohormones_AKirchhofer_BC3		1.000	5.75	270742	10951			10951.35200	bb	0.56592	-43.4	56.6
33	33	260508_phytohormones_AKirchhofer_BC4		1.000	5.75	250210	10117			10116.67600	bb	0.52278	-47.7	52.3
34	34	260508_phytohormones_AKirchhofer_BC5		1.000	5.75	287422	11971			11970.62400	bb	0.61859	-38.1	61.9
35	35	260508_phytohormones_AKirchhofer_BT1		1.000	5.75	250224	9789			9788.90800	bb	0.50585	-49.4	50.6
36	36	260508_phytohormones_AKirchhofer_BT3		1.000	5.75	263895	10623			10623.17500	bb	0.54896	-45.1	54.9
37	37	260508_phytohormones_AKirchhofer_BT5		1.000	5.75	252591	9765			9765.38400	bb	0.50463	-49.5	50.5
38	38	260508_phytohormones_AKirchhofer_MT1		1.000	5.75	262035	10394			10394.49600	bb	0.53714	-46.3	53.7
39	39	260508_phytohormones_AKirchhofer_MT2		1.000	5.75	253807	10281			10281.24700	bb	0.53129	-46.9	53.1
40	40	260508_phytohormones_AKirchhofer_MT3		1.000	5.75	262183	10825			10825.24100	bb	0.55940	-44.1	55.9
41	41	260508_phytohormones_AKirchhofer_std_5_ngml_4	QC	1.000	5.75	467733	20072			20072.35900	bb	1.03725	3.7	103.7
42	42	260508_phytohormones_AKirchhofer_MT4		1.000	5.75	262384	10973			10973.33300	bb	0.56705	-43.3	56.7
43	43	260508_phytohormones_AKirchhofer_MC1		1.000	5.75	269609	10931			10931.13600	bb	0.56487	-43.5	56.5
44	44	260508_phytohormones_AKirchhofer_MC2		1.000	5.75	230526	9230			9229.95100	bb	0.47696	-52.3	47.7
45	45	260508_phytohormones_AKirchhofer_MC4		1.000	5.75	230554	8874			8874.48200	bb	0.45859	-54.1	45.9
46	46	260508_phytohormones_AKirchhofer_MC5		1.000	5.75	354626	14309			14309.18800	bb	0.73943	-26.1	73.9
47	47	260508_phytohormones_AKirchhofer_B_1		1.000	5.75	295385	11994			11993.97800	bb	0.61979	-38.0	62.0
48	48	260508_phytohormones_AKirchhofer_B_2		1.000	5.75	339841	14031			14031.31700	bb	0.72507	-27.5	72.5
49	49	260508_phytohormones_AKirchhofer_M		1.000	5.75	265129	10366			10365.88800	bb	0.53566	-46.4	53.6
50	50	260508_phytohormones_AKirchhofer_unknown		1.000	5.75	280385	10559			10558.99000	bb	0.54564	-45.4	54.6
51	51	260508_phytohormones_AKirchhofer_std_5_ngml_5	QC	1.000	5.75	495324	20540			20540.10000	bb	1.06142	6.1	106.1

Compound 5:  JA-Ile

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
1	1	260508_phytohormones_AKirchhofer_MeOH50_1												
2	2	260508_phytohormones_AKirchhofer_MeOH50_2												
3	3	260508_phytohormones_AKirchhofer_std_0_ngml						838165	37122					
4	4	260508_phytohormones_AKirchhofer_std_005_ngml	Standard	0.050	7.62	7614	336	849366	36995	0.00908	MM	0.04900	-2.0	98.0
5	5	260508_phytohormones_AKirchhofer_std_01_ngml	Standard	0.100	7.62	14640	657	801646	36189	0.01816	bb	0.10182	1.8	101.8
6	6	260508_phytohormones_AKirchhofer_std_05_ngml	Standard	0.500	7.62	67962	3185	807118	36584	0.08706	bb	0.50268	0.5	100.5
7	7	260508_phytohormones_AKirchhofer_std_1_ngml	Standard	1.000	7.62	137945	6282	819991	36694	0.17119	bb	0.99209	-0.8	99.2
8	8	260508_phytohormones_AKirchhofer_std_2_ngml	Standard	2.000	7.62	275869	12520	811573	36834	0.33992	bb	1.97363	-1.3	98.7
9	9	260508_phytohormones_AKirchhofer_std_5_ngml_1	Standard	5.000	7.62	711182	31450	840168	36609	0.85908	bb	4.99383	-0.1	99.9
10	10	260508_phytohormones_AKirchhofer_std_10_ngml	Standard	10.000	7.62	1400417	62780	799255	36148	1.73676	bb	10.09963	1.0	101.0
11	11	260508_phytohormones_AKirchhofer_std_50_ngml	Standard	50.000	7.62	6845760	316660	800746	36161	8.75701	bb	50.93928	1.9	101.9
12	12	260508_phytohormones_AKirchhofer_std_100_ngml	Standard	100.000	7.62	13306414	607401	791923	35691	17.01821	bb	98.99802	-1.0	99.0
13	13	260508_phytohormones_AKirchhofer_IPA_2												
14	14	260508_phytohormones_AKirchhofer_MeOH50_3												
15	15	260508_phytohormones_AKirchhofer_MeOH50_4												
16	16	260508_phytohormones_AKirchhofer_Blanc												
17	17	260508_phytohormones_AKirchhofer_B1			7.68	15484	1047	472002	21048	0.04973	MM	0.28552		
18	18	260508_phytohormones_AKirchhofer_B2			7.68	156123	8241	512890	23000	0.35829	MM	2.08054		
19	19	260508_phytohormones_AKirchhofer_B3			7.68	41275	2165	384297	16889	0.12821	MM	0.74202		
20	20	260508_phytohormones_AKirchhofer_C1			7.68	27400	1656	516623	23304	0.07108	MM	0.40968		
21	21	260508_phytohormones_AKirchhofer_C2			7.68	8836	756	463573	20787	0.03637	MM	0.20777		
22	22	260508_phytohormones_AKirchhofer_C3			7.68	11433	749	431069	19470	0.03848	MM	0.22004		
23	23	260508_phytohormones_AKirchhofer_std_5_ngml_2	QC	5.000	7.62	705683	31142	817031	36189	0.86052	bb	5.00218	0.0	100.0
24	24	260508_phytohormones_AKirchhofer_S1			7.68	134221	6682	506518	21664	0.30846	MM	1.79062		
25	25	260508_phytohormones_AKirchhofer_S2			7.68	13066	904	502437	21787	0.04149	MM	0.23753		
26	26	260508_phytohormones_AKirchhofer_S3			7.68	175933	10164	512665	22177	0.45833	MM	2.66246		
